captions,keywords
"Manipal University Jaipur extends hearty congratulations to Dr. Ravi Sharma (Professor and Head of the Department of Mechanical Engineering) and Dr. Somya Rakesh Goyal (Assistant Professor in the Department of Computers and Communication Engineering) for being recognised and honoured by Stanford University as amongst the prestigious 2% Scientist List. Their dedication, passion, and outstanding contributions to their respective fields are truly commendable. Wishing them luck in their future endeavours.
Ravi Sharma","manipal university jaipur, ravi sharma professor, manipal university, honoured by stanford, university jaipur, of mechanical engineering, future endeavours ravi, somya rakesh goyal, university jaipur extends, goyal assistant professor"
"Remembering the Iron Man of India, Sardar Vallabhbhai Patel, on his birth anniversary. His unwavering dedication to uniting India stands as an inspiration for us all. Manipal University Jaipur continues to foster unity, diversity, and progress.","manipal university jaipur, manipal university, university jaipur, all manipal university, vallabhbhai patel on, university jaipur continues, us all manipal, uniting india, man of india, jaipur continues to"
"A Proud Moment for Manipal University Jaipur(MUJ). Congratulations to Manini Kaushik (Final year Student of BA LLB (Hons.), MUJ) for clinching the Silver Medal in the Women's 50-Meter Rifle, 3-Position Team Event at the Asian Games 2023 at Hangzhou, China. Best wishes for your future endeavors.","manipal university jaipur, manipal university, university jaipur muj, university jaipur, for manipal university, congratulations to manini, student of ba, jaipur muj congratulations, moment for manipal, kaushik final year"
"Manipal University Jaipur (MUJ) congratulates Nischal (Student of BBA II year, MUJ), a shining star in the world of shooting. Your Silver Medal win in the Women's 50m Rifle 3-Position event at the ISSF World Cup Rifle/Pistol Stage is a testament to your dedication and precision. Keep aiming for the stars, and may your future be filled with even more brilliant accomplishments.","manipal university jaipur, manipal university, jaipur muj congratulates, university jaipur, university jaipur muj, congratulates nischal student, student of bba, silver medal, jaipur muj, future be"
"Manipal University Jaipur is delighted to announce that the University has been ranked in the Times Higher Education World University Rankings 2024 in the band of 1201- 1500 in its first attempt, 964th Globally in Quality Research and 58th Nationally. Huge congratulations to our dedicated team for their unwavering efforts in achieving this remarkable milestone.","manipal university jaipur, manipal university, university jaipur is, university jaipur, jaipur is delighted, university rankings 2024, higher education world, jaipur is, achieving this remarkable, the university has"
"Manipal University Jaipur's IEEE student branch invites you for the grand and entertaining ""Elohim"" Closing Ceremony, a highlight of the Genesis 3.0 tech-cultural fest. Join us for the Closing Ceremony, ""Elohim"", as we welcome the incredibly talented and hilarious Mr. Aakash Gupta to our campus. Get ready to laugh till your cheeks hurt, and make the final moments of this extraordinary event truly unforgettable.","manipal university jaipur, manipal university, university jaipur ieee, university jaipur, jaipur ieee student, mr aakash gupta, jaipur ieee, incredibly talented and, tech cultural, campus get ready"
"Guiding pathfinders toward excellence, at Manipal University Jaipur’s Faculty of Management and Commerce, we have our distinguished Chief Guest, Mr. Pankaj Gera (Sr. VP, Tata AIA Life Insurance), who will ignite the aspirations of our budding leaders. His wisdom will steer our students toward triumph and distinction.","manipal university jaipur, excellence at manipal, at manipal university, university jaipur faculty, university jaipur, manipal university, jaipur faculty of, jaipur faculty, guest mr pankaj, at manipal"
"We are excited to invite all to Manipal University Jaipur's Faculty of Engineering Orientation Programme, featuring our esteemed Chief Guest, Mr. Anil Vohra, Managing Director at Accenture. Get ready to be inspired and embark on a journey of knowledge and innovation.","manipal university jaipur, manipal university, university jaipur faculty, university jaipur, engineering orientation programme, to manipal university, jaipur faculty of, faculty of engineering, all to manipal, jaipur faculty"
"It is going to be an enlightening day at Manipal University Jaipur's Faculty of Engineering Orientation Programme with our esteemed Chief Guest, Mr. Kamal Stephen, Director - Early Career TA, SAP Lab, Bangalore. His insights and expertise will pave the way for our engineering students' future success.","manipal university jaipur, at manipal university, university jaipur faculty, engineering students future, university jaipur, manipal university, bangalore his insights, jaipur faculty of, jaipur faculty, engineering orientation programme"
Manipal University Jaipur has been recognized for its excellence in progressive education at par with global standards and has been ranked 6th among the Top 50 State Private Universities in the Outlook-ICARE India University Rankings 2023.,"manipal university jaipur, manipal university, india university, university jaipur has, university jaipur, jaipur has been, its excellence in, university rankings 2023, jaipur has, india university rankings"
"Join us as we embark on a journey of knowledge and advocacy at Manipal University's Faculty of Law Orientation Program. Honoured to welcome Prof. Ranbir Singh, Former Vice Chancellor of NLU Delhi, as our esteemed Chief Guest. Get ready to embrace a world of legal wisdom and excellence.","manipal university, prof ranbir singh, at manipal university, manipal university faculty, chancellor of nlu, welcome prof, orientation program honoured, at manipal, welcome prof ranbir, nlu delhi as"
"An inspiring day of creativity and innovation. Welcoming Prof. (Dr.) Rajiv Mishra, esteemed Principal of Sir J. J. College of Architecture at the University of Mumbai and Director, Directorate of Art, Government of Maharashtra, as the Chief Guest for Manipal University Jaipur's Faculty of Design Orientation. His wisdom and expertise will ignite our students' passion for design and pave the way for their journey ahead.","manipal university jaipur, manipal university, university jaipur faculty, prof dr rajiv, university jaipur, university of mumbai, for manipal university, jaipur faculty of, jaipur faculty, rajiv mishra"
"Manipal University Jaipur invites all to the Induction Program of its TAPMI School of Business. Join us as we open the doors to endless learning opportunities. Immerse yourself in a dynamic blend of knowledge, experience, and collaboration tailored to shape the leaders of tomorrow.
Date: 18th August 2023
Time: 9:00 AM Onwards","manipal university jaipur, manipal university, university jaipur, university jaipur invites, program of its, 2023 time 00, endless learning opportunities, jaipur invites all, dynamic blend, leaders of"
"Get ready to explore the dynamic realms of Business, Finance, and Leadership. Inviting all to the Faculty of Management and Commerce Orientation Programme 2023.
Date: 20th August 2023
Time: 11:30 am to 12:30 pm","commerce orientation programme, faculty of, 2023 time 11, dynamic realms, inviting all, am to, and commerce, of management and, orientation programme 2023, explore the"
"Welcome to Manipal University Jaipur’s Faculty of Engineering Orientation Programme 2023. Explore the cutting-edge world of technology, design, and problem-solving. 
Date: 19th August 2023
Time: 4:00 pm to 5:00 pm","manipal university jaipur, manipal university, university jaipur faculty, university jaipur, engineering orientation programme, welcome to manipal, to manipal university, jaipur faculty of, faculty of engineering, jaipur faculty"
"Faculty of Science ignites curiosity and fuels progress. Join us on a fascinating journey into becoming the Frontiers of Discovery, Research, and Innovation. Faculty of Science Orientation 2023
Date: 17th August 2023
Time: 4:00 pm to 5:00 pm","faculty of science, orientation 2023 date, fascinating journey, fuels progress join, research and innovation, science orientation, pm to 00, of science ignites, becoming the, of science"
"The Faculty of Design at Manipal University Jaipur is a vibrant hub where ideas emerge. Creativity and innovation flourish here, fostering an intellectually stimulating and fulfilling learning environment. Join us at the Faculty of Design Orientation Programme 2023.
Date: 18th August 2023
Time: 11:30 am to 12:30 pm","manipal university jaipur, at manipal university, university jaipur is, manipal university, university jaipur, design at manipal, jaipur is vibrant, orientation programme 2023, jaipur is, at manipal"
"Manipal University Jaipur’s Department of Languages, Literatures, and Cultural Studies (Faculty of Arts) is organizing a webinar on “Deliberations on the Emerging Career Trends and Academic Prospects in English: How and Where Can It Take You?"". The speaker for the webinar is Dr Ratan Bhattacharjee (Affiliate Faculty, English, Virginia Commonwealth University, Richmond). This insightful webinar will emphasize the relevance of English in today’s world and will further showcase the career options that the field offers to learners.
Date: August 14, 2023
Time: 8:00 pm (IST)","manipal university jaipur, manipal university, university jaipur department, university jaipur, bhattacharjee affiliate faculty, jaipur department of, pm ist, jaipur department, academic prospects, commonwealth university"
"The place where imagination meets expression. Welcome to a literary, visual, and cultural exploration journey at the Faculty of Arts Orientation Programme 2023.
Date: 17th August 2023
Time: 11:30 AM to 12:30 PM","faculty of, orientation programme 2023, 17th august 2023, journey at, literary visual, meets expression welcome, programme 2023, arts orientation programme, welcome to, am to"
"Save the Dates. 
Manipal University's Orientation 2023 is just around the corner, and you don't want to miss it. Mark your calendar and get ready for an unforgettable journey. Stay tuned for exciting updates.","manipal university, manipal university orientation, dates manipal university, university orientation 2023, exciting updates, journey stay, dates manipal, and you, 2023 is, ready for"
Manipal University Jaipur congratulates Avantika Yadav on her outstanding achievement. Avantika triumphed by qualifying for the UGC-NET Examination in June 2023. Her dedication and hard work shine as an inspiration to all. Here's to a future full of success and limitless possibilities.,"manipal university jaipur, university jaipur congratulates, manipal university, university jaipur, jaipur congratulates, here to future, jaipur congratulates avantika, the ugc net, shine as an, examination in june"
"Experience an immersive journey in B.Des. (User Experience and Interaction Design) at Manipal University Jaipur (MUJ). Redefine product creation through advanced UX ID design, crafting processes that elevate user experiences. Enroll to create impactful, enduring product designs. Admissions are open for the 2023-24 session.","manipal university jaipur, at manipal university, university jaipur muj, university jaipur, manipal university, design at manipal, at manipal, jaipur muj, through advanced ux, admissions are"
"Manipal University Jaipur congratulates Priyankshi Keswani (MA (J&MC) 2021-23) and (BA (J&MC) 2018-21) on clearing the NTA NET Examination in June 2023 with the subject of Journalism and Mass Communication. Her hard work and dedication have paid off, and MUJ is incredibly proud of this remarkable accomplishment. Wishing Priyankshi luck in her future endeavors.","manipal university jaipur, university jaipur congratulates, manipal university, university jaipur, jaipur congratulates, muj is incredibly, jaipur congratulates priyankshi, remarkable accomplishment wishing, and ba, net examination"
"The Department of Languages, Literature, and Cultural Studies (Faculty of Arts), Manipal University Jaipur, is organizing a webinar on “Crafting Your Destiny: Pursuing Careers in English Studies”. The speaker for the webinar is Prof. (Dr.) Ali GUNES (Chair, Dept. of English Language and Literature, Faculty of Science and Letters, Bolu Abant Izzet Baysal University Turkiye). This insightful webinar offers a unique opportunity to delve deeper into the rich tapestry of literature and discover the vast possibilities that lie within the realm of English Studies.
Date: July 28, 2023
Time: 1:30 pm (IST)","manipal university jaipur, manipal university, university jaipur is, university jaipur, arts manipal university, is prof, jaipur is organizing, university turkiye this, jaipur is, pm ist"
"Be a part of an exciting webinar on ""Don't Wait for 4 Years for Placements. Start Your Career Right From First Year of BCA (Hons.) at Manipal University Jaipur"" We are delighted to welcome Deepak Venugopal, Co-Founder of Kalvium, as our esteemed speaker.
Seize this golden opportunity and actively participate in the session. Feel free to interact, ask questions, and set yourself on the path to a successful and rewarding career.
Date: 21st July 2023
Time: 4:00 pm to 5:00 pm","manipal university jaipur, at manipal university, university jaipur we, manipal university, university jaipur, hons at manipal, jaipur we are, jaipur we, at manipal, delighted to welcome"
"Manipal University Jaipur congratulates Nionica Sunil Kurup, a final-year Bachelor of Hotel Management student, on securing the title of 2nd Runner-Up in the Miss Maharashtra 2023 contest.","manipal university jaipur, university jaipur congratulates, manipal university, university jaipur, jaipur congratulates, jaipur congratulates nionica, year bachelor of, student on securing, maharashtra 2023, sunil kurup final"
"Manipal University Jaipur takes pride in sharing that Mansi Gotharwal and Aniae Mutha  (BA (J&MC) ) have been selected at Nottingham Trent University, UK, for the NTU Global Summer School Short Course and MA Luxury Brand Management FT, respectively. Extending hearty congratulations to Mansi and Aniae.","manipal university jaipur, manipal university, university jaipur, congratulations to mansi, university jaipur takes, jaipur takes pride, gotharwal and, the ntu global, mutha ba, jaipur takes"
Congratulations to all the students of BHM at Manipal University Jaipur for being offered internships at esteemed companies. We extend our heartfelt wishes for a prosperous career ahead.,"manipal university jaipur, at manipal university, university jaipur for, manipal university, university jaipur, congratulations to all, jaipur for being, bhm at manipal, jaipur for, at manipal"
"Manipal University Jaipur extends a hearty congratulations to Dr. Rina Poonia(Director, Sports, MUJ) for being nominated as Official, Team Manager, Athletics Team India (Women). Dr. Poonia's dedication to sports and her relentless pursuit of excellence serve as an inspiration to all, highlighting the spirit of determination and passion.","manipal university jaipur, manipal university, university jaipur, university jaipur extends, hearty congratulations to, director sports muj, india women dr, jaipur extends hearty, excellence serve as, athletics team india"
"Manipal University Jaipur extends a hearty congratulations to Jaykumar Suryaprakash Maniyar for getting selected for MS in Business Analytics at Marshall School of Business, University of Southern California with a scholarship of Rs. 10 Lakhs. May Jaykumar’s pursuit of knowledge and passion for business analytics continue to soar to new heights.","manipal university jaipur, manipal university, university jaipur, congratulations to jaykumar, university jaipur extends, scholarship of rs, suryaprakash maniyar for, jaipur extends hearty, university of, soar to"
"Manipal University Jaipur is organizing Online Webinar Series on ""Blending Forensic Science with Law"" (Crime Spot to Court Room) with the title of the talk- ""Forensic Phonetics"". Guest speakers for the upcoming webinar will be Dr. Natalie Papoyan from South Ural State University, Department of Criminal Procedures, Criminal Science & Forensic Enquiry - and Department of Linguistics & Translation Studies. Discover the fascinating synergy between forensic science and the legal realm as we delve into its interesting world. 
Stay tuned for the upcoming editions of our Online Webinar Series.
Date: 12th June 2023
Time: 2:00 PM","manipal university jaipur, manipal university, university jaipur is, university jaipur, the fascinating synergy, jaipur is organizing, 12th june 2023, jaipur is, upcoming webinar will, state university"
Manipal University Jaipur extends hearty congratulations to Shruti Srivastava (BA J& MC) 2020-23 on her placement with RoboMQ. We are proud of her accomplishment and wish her the very best in all her future endeavours. May she continue to shine and bring pride to MUJ.,"manipal university jaipur, manipal university, university jaipur, university jaipur extends, hearty congratulations to, future endeavours, jaipur extends hearty, srivastava ba mc, congratulations to shruti, best in all"
Manipal University Jaipur has been recognized for its excellence in Management education and has been ranked 79th in the NIRF rankings 2023 under the Management category. Congratulations to the Faculty of Management for its efforts in achieving the milestone.,"manipal university jaipur, manipal university, university jaipur has, university jaipur, jaipur has been, management category congratulations, its excellence in, jaipur has, faculty of, rankings 2023"
"Don't miss the chance to meet the MUJ team at ""Educatus Expo 2023"", Chandigarh and uncover a realm of endless opportunities, paving the way for a brilliant future. Do visit.","2023 chandigarh and, brilliant future do, at educatus expo, muj team at, do visit, chandigarh and, the chance, future do visit, expo 2023 chandigarh, realm of endless"
"Manipal University Jaipur takes pride in the achievements of its students. MUJ extends hearty congratulations to Riya Kashyap, BA Hons. Economics, batch 2017–20, for clearing UGC-NET. Wishing Riya all the best in her future endeavours.","manipal university jaipur, manipal university, university jaipur, its students muj, university jaipur takes, hearty congratulations to, jaipur takes pride, future endeavours, achievements of its, wishing riya all"
"Faculty of Law, Manipal University Jaipur has been conferred with “International ADR Award"" for the Best ADR Innovation in Legal Education by APCAM (Asia Pacific Centre for Arbitration & Mediation) for a path-breaking initiative of access to justice through the centre of legal education.
Faculty of Law, MUJ is collaborating with the Indian Institute of Arbitration & Mediation (IIAM) in establishing “Manipal International Centre for Conflict Resolution”. The Centre integrate legal education with justice delivery and is the first of its kind endeavour in India.","manipal university jaipur, manipal university, university jaipur has, university jaipur, indian institute of, law manipal university, establishing manipal, jaipur has been, muj is collaborating, manipal international centre"
"Manipal University Jaipur is hosting a session for computer application graduates and postgraduates, where industry experts will shed light on career opportunities after BCA and MCA. The session will welcome esteemed guests from California, USA, Mr. Vaibhav Banga (Nokia America Corporation Sunnyvale) and Mr. Manish Pandey (Cisco Systems Mountain House). This event promises to be an enlightening experience for attendees.
Date: 8th May 2023
Time: 9:30 am to 11:30 am","manipal university jaipur, manipal university, university jaipur is, university jaipur, computer application graduates, jaipur is hosting, jaipur is, mr manish pandey, and mca the, 8th may 2023"
"Manipal University Jaipur congratulates Vanshika Sunil Parate (B.Com. Hons. Accounting) 2019-22 batch for becoming an ACCA* Affiliate. Her hard work, dedication, and perseverance have paid off, and MUJ wishes all the best for her future endeavours.","manipal university jaipur, university jaipur congratulates, manipal university, university jaipur, jaipur congratulates vanshika, muj wishes all, jaipur congratulates, batch for becoming, future endeavours, com hons accounting"
Manipal University Jaipur is proud of Aman Sethi (BA Hons. Economics) from batch 2017-20 for successfully clearing the IBPS PO Exam for the Bank of Maharashtra. MUJ extends hearty congratulations to Aman for this achievement and wishes him the best of luck in the journey ahead.,"manipal university jaipur, manipal university, university jaipur is, university jaipur, sethi ba, hearty congratulations to, jaipur is proud, maharashtra muj, jaipur is, wishes him"
"Manipal University Jaipur’s Department of Psychology extends hearty congratulations to Astha Wadhwa, Muskan Singh, and Shruti Jain from the M.Sc. Clinical Psychology 2021-23 batch on successfully qualifying GATE - Psychology 2023. This achievement will give way to many new opportunities. Keep up the good work, and MUJ wishes you all the best in your future endeavours.","manipal university jaipur, manipal university, university jaipur department, university jaipur, singh and, hearty congratulations to, muj wishes you, jaipur department of, future endeavours, jaipur department"
MUJ feels proud to share that Roshmeet Chakraborty (BCA) from Manipal University Jaipur Secured 1st Position in the World Programming Championship 22 (Largest Science and Technology Festival in Asia) at Techfest: Submerged Sojourn hosted by IIT Bombay. A hearty congratulations to Roshmeet.,"manipal university jaipur, from manipal university, university jaipur, manipal university, university jaipur secured, bombay hearty congratulations, science and technology, world programming, from manipal, bca from manipal"
"MUJ feels proud to share that one of our students, Sanjeev Kumar has secured rank 134 in the Joint Admission Test for Masters 2023. A hearty congratulations to Sanjeev on his achievement.","students sanjeev kumar, masters 2023 hearty, congratulations to sanjeev, kumar has secured, test for masters, sanjeev kumar has, joint admission, sanjeev kumar, rank 134 in, his achievement"
Opportunity knocks again: One more chance to apply and seize your dreams. Manipal University extends its application date till April 15th. Last opportunity to light up your path to success.,"manipal university, manipal university extends, dreams manipal university, your dreams manipal, its application, 15th last, chance to apply, university extends its, to success, dreams manipal"
"Drive your passion for automobiles with B. Tech in Automobile Engineering from Manipal University. We at Manipal shape engineers who will transform the face of transportation. Join us and unlock your potential to excel. Admissions are open and the last day to apply is March 15th, 2023","manipal university, engineering from manipal, from manipal university, manipal university we, manipal shape engineers, at manipal, from manipal, engineers who will, to excel admissions, march 15th 2023"
"Dr. TMA Pai was a visionary with a dream, a pioneer who took the first steps, and a leader who inspired future generations. From a humble background in Udupi, Dr. TMA Pai became the most prolific founder of Manipal Education & Medical Group. Today, on his 125th Birth Anniversary, we remember his unwavering efforts towards enhancing education, healthcare, and human development. MUJ is honoured to continue his legacy.","of manipal education, founder of manipal, muj is honoured, of manipal, inspired future, manipal education, manipal education medical, udupi dr tma, 125th birth anniversary, efforts towards enhancing"
"Manipal University Jaipur extends its best wishes to all the aspirants appearing in Manipal Entrance Test from April 28th to April 30th, 2023. ","manipal university jaipur, manipal university, university jaipur, university jaipur extends, manipal entrance test, best wishes to, appearing in manipal, manipal entrance, in manipal, jaipur extends its"
"Just 2 days left to fill out your application for admission in one of the prestigious University of India, Manipal University Jaipur. Avail this opportunity to give wings to your dreams. Last day to apply : May 15, 2023.","manipal university jaipur, india manipal university, university jaipur, manipal university, of india manipal, university jaipur avail, university of india, jaipur avail this, india manipal, prestigious university of"
"Manipal University Jaipur congratulates Vanshika Sunil Parate (B.Com. Hons. Accounting) 2019-22 batch for becoming an ACCA* Affiliate. Her hard work, dedication, and perseverance have paid off, and MUJ wishes all the best for her future endeavours.","manipal university jaipur, university jaipur congratulates, manipal university, university jaipur, jaipur congratulates vanshika, muj wishes all, jaipur congratulates, batch for becoming, future endeavours, com hons accounting"
"On World Water Day, let's make a commitment to preserve and safeguard our invaluable water resources for a sustainable tomorrow. Manipal University Jaipur wishes all of you a very aware World Water Day.","manipal university jaipur, manipal university, university jaipur wishes, university jaipur, tomorrow manipal university, jaipur wishes all, sustainable tomorrow manipal, jaipur wishes, tomorrow manipal, make commitment"
"May this festival of colours bring with it a lot of joy, blissfulness, and goodwill. Take this opportunity to strengthen the bond with your loved ones more than ever. Manipal University wishes you all a very Happy Holi.","manipal university, manipal university wishes, ever manipal university, than ever manipal, all very happy, university wishes you, strengthen the bond, ever manipal, this festival of, of joy blissfulness"